timestamp,value
4 AUG,15436323
5 AUG,5723050
6 AUG,12665227
7 AUG,6294906
8 AUG,3073806
9 AUG,8068866
10 AUG,4381694
11 AUG,9268989
12 AUG,8627184
13 AUG,6288473
14 AUG,4453418
15 AUG,9559100
16 AUG,7812697
17 AUG,13786542
18 AUG,9056792
19 AUG,7272319
20 AUG,6853753
21 AUG,12319611
22 AUG,7879256
23 AUG,11458863
24 AUG,15306946
25 AUG,9105281
26 AUG,14149387
27 AUG,23847565
28 AUG,22629442
29 AUG,12316866
30 AUG,15047063
31 AUG,17473640
1 SEP,29677628
2 SEP,44353076
