timestamp,value
4 AUG,32865183
5 AUG,22158707
6 AUG,32870866
7 AUG,22757283
8 AUG,17800758
9 AUG,15519494
10 AUG,10125204
11 AUG,13362948
12 AUG,20106909
13 AUG,15751402
14 AUG,19768225
15 AUG,21471203
16 AUG,26476051
17 AUG,46087346
18 AUG,34805732
19 AUG,28719640
20 AUG,31537373
21 AUG,32337706
22 AUG,25728824
23 AUG,23555499
24 AUG,44489956
25 AUG,39082148
26 AUG,50403925
27 AUG,97972296
28 AUG,67915662
29 AUG,71987451
30 AUG,75255524
31 AUG,67881164
1 SEP,101578185
2 SEP,129510779
